total,bet,net,inst,actual,predicted,probability,oddsH,oddsD,oddsA
16.0,Make bet on away team!,-20,37,H,A,0.457,2.3,3.4,3.4
-4.0,Make bet on a draw!,-20,38,H,D,0.856,1.95,3.6,4.33
11.0,Make bet on away team!,15.0,39,A,A,0.094,5,4,1.75
31.0,Make bet on home team!,20.0,40,H,H,0.887,2,3.6,4
77.0,Make bet on a draw!,46.0,41,D,D,0.682,2.63,3.3,2.9
57.0,Make bet on a draw!,-20,42,A,D,0.597,3.3,3.6,2.25
37.0,Make bet on a draw!,-20,43,A,D,0.957,2.1,3.4,4
56.0,Make bet on away team!,19.0,44,A,A,0.09,4.1,3.7,1.95
63.2,Make bet on home team!,7.2,45,H,H,1,1.36,5,11
43.2,Make bet on home team!,-20,46,D,H,1,1.36,5.5,9
23.2,Make bet on away team!,-20,47,H,A,0.358,2.1,3.5,3.8
3.2,Make bet on away team!,-20,48,D,A,0.464,2.38,3.4,3.25
51.2,Make bet on a draw!,48.0,49,D,D,0.803,2.2,3.4,3.6
97.2,Make bet on away team!,46.0,50,A,A,0.517,2.3,3.5,3.3
102.2,Make bet on home team!,5.0,51,H,H,1,1.25,6.5,14
148.2,Make bet on a draw!,46.0,52,D,D,0.601,2.3,3.3,3.5
157.0,Make bet on home team!,8.8,53,H,H,1,1.44,4.75,8
137.0,Make bet on away team!,-20,54,D,A,0.005,8,4.75,1.45
192.0,Make bet on a draw!,55.0,55,D,D,0.756,1.91,3.75,4.2
172.0,Make bet on home team!,-20,56,A,H,0.733,1.95,3.5,4.5
184.0,Make bet on away team!,12.0,57,A,A,0.006,7,3.9,1.6
242.0,Make bet on a draw!,58.0,58,D,D,0.665,1.75,3.9,5
258.0,Make bet on away team!,16.0,59,A,A,0.041,4.75,3.8,1.8
263.0,Make bet on home team!,5.0,60,H,H,1,1.25,6.5,14
243.0,Make bet on away team!,-20,61,D,A,0.009,5.5,3.9,1.7
258.0,Make bet on away team!,15.0,62,A,A,0.042,5,4,1.75
238.0,Make bet on a draw!,-20,63,H,D,0.973,1.75,3.8,5.25
218.0,Make bet on a draw!,-20,64,A,D,0.956,2.25,3.4,3.5
198.0,Make bet on away team!,-20,65,H,A,0.233,3.4,3.4,2.3
248.0,Make bet on a draw!,50.0,66,D,D,0.724,2.38,3.5,3.1
228.0,Make bet on home team!,-20,67,D,H,0.889,2.25,3.5,3.4
208.0,Make bet on a draw!,-20,68,H,D,0.66,2.3,3.5,3.3
188.0,Make bet on away team!,-20,69,D,A,0.334,2.15,3.6,3.6
168.0,Make bet on away team!,-20,70,H,A,0.381,3.25,3.6,2.3
173.0,Make bet on home team!,5.0,71,H,H,1,1.25,6.75,13
183.0,Make bet on home team!,10.0,72,H,H,1,1.5,4.5,7.5
188.8,Make bet on home team!,5.8,73,H,H,1,1.29,6,12
218.8,Make bet on away team!,30.0,74,A,A,0.187,2.88,3.6,2.5
198.8,Make bet on home team!,-20,75,A,H,0.854,1.85,3.75,4.6
178.8,Make bet on a draw!,-20,76,H,D,0.979,2.25,3.3,3.6
158.8,Make bet on away team!,-20,77,D,A,0.04,3.8,3.6,2.05
138.8,Make bet on away team!,-20,78,D,A,0.163,2.25,3.6,3.3
146.0,Make bet on home team!,7.2,79,H,H,1,1.36,5.5,9
196.0,Make bet on a draw!,50.0,80,D,D,0.844,2.55,3.5,2.88
176.0,Make bet on a draw!,-20,81,H,D,0.652,2.3,3.4,3.4
156.0,Make bet on home team!,-20,82,A,H,0.954,1.73,3.9,5.25
136.0,Make bet on a draw!,-20,83,A,D,0.829,2.55,3.3,3
144.8,Make bet on away team!,8.8,84,A,A,0.001,8,4.75,1.44
124.8,Make bet on away team!,-20,85,D,A,0.086,5.25,3.8,1.75
133.6,Make bet on home team!,8.8,86,H,H,0.999,1.44,4.75,8
173.6,Make bet on away team!,40.0,87,A,A,0.615,2.45,3.5,3
153.6,Make bet on home team!,-20,88,D,H,0.973,2.38,3.4,3.25
205.6,Make bet on a draw!,52.0,89,D,D,0.748,1.95,3.6,4.2
255.6,Make bet on away team!,50.0,90,A,A,0.246,2.2,3.5,3.5
301.6,Make bet on a draw!,46.0,91,D,D,0.904,2.1,3.3,4
309.6,Make bet on home team!,8.0,92,H,H,1,1.4,5,9
289.6,Make bet on a draw!,-20,93,A,D,0.601,1.83,3.75,4.75
269.6,Make bet on away team!,-20,94,D,A,0.434,1.95,3.75,4
286.6,Make bet on away team!,17.0,95,A,A,0.037,4.5,3.8,1.85
296.6,Make bet on home team!,10.0,96,H,H,0.998,1.5,4.5,7.5
317.6,Make bet on away team!,21.0,97,A,A,0.159,3.9,3.6,2.05
323.6,Make bet on home team!,6.0,98,H,H,1,1.3,5.75,12
303.6,Make bet on a draw!,-20,99,H,D,0.595,2.2,3.4,3.6
283.6,Make bet on a draw!,-20,100,A,D,0.775,3.4,3.4,2.3
301.8,Make bet on away team!,18.2,101,A,A,0.154,4.5,3.6,1.91
345.8,Make bet on a draw!,44.0,102,D,D,0.66,2.8,3.2,2.8
353.8,Make bet on home team!,8.0,103,H,H,1,1.4,5.5,8
365.8,Make bet on away team!,12.0,104,A,A,0.034,6,4.33,1.6
345.8,Make bet on a draw!,-20,105,H,D,0.817,1.7,4,5.5
350.8,Make bet on home team!,5.0,106,H,H,1,1.25,7,12
330.8,Make bet on home team!,-20,107,A,H,1,1.33,5.5,11
341.8,Make bet on away team!,11.0,108,A,A,0.006,6,4.6,1.55
397.8,Make bet on a draw!,56.0,109,D,D,0.963,1.75,3.8,5.25
377.8,Make bet on home team!,-20,110,A,H,0.973,1.8,3.8,4.75
383.6,Make bet on home team!,5.8,111,H,H,1,1.29,6,12
363.6,Make bet on away team!,-20,112,D,A,0.015,4.5,3.9,1.83
377.0,Make bet on home team!,13.4,113,H,H,0.972,1.67,4,5.75
429.0,Make bet on a draw!,52.0,114,D,D,0.594,2.15,3.6,3.6
